,受理番号,相談種別ID,【相談内容分類：ガイドブックmission1に準拠して】,,件名,相談内容,相談備考,対応状況,処置備考,【FAQ用】検索キーワード,案件項目【Mission1】,提示する対策項目【Mission2～4】,【FAQ用】標準回答（案）,【FAQ用】対策のための参考資料・サイト（ここからセキュリティ等を参照）
1,8,2,01.個別サイバーセキュリティ事象の相談【Mission１】,02.迷惑メール・スパムメール,成りすましメールと思われるものが来るので心配だ。,"自社のメールアドレスで、自社あてに成りすましメールと思われるものが来るので心配だ。
今のところ、社外からの苦情等は来ていない。

メールは自動削除されてしまっていて、内容はわからない。

自社にネットワークを構築
HPを公開
パソコンは１４台、ほかにファイルサーバ１台",本日、調布市商工会においてマイクロソフトとTcyssによるセキュリティセミナーが開催された際に「臨時相談窓口」を開設して対応したもの。,"メールアドレスが偽装されている可能性がある。
マルウエアによることも考えられるのですべてのＰＣとサーバをフルスキャンする。
バックアップを取ることをすすめた。

また、一度メールの自動削除を解除してどのようなメールが来るのか確認するように（添付ファイルがあっても開かないように）教示。メールヘッダで送信元がわかることともあると説明。

またIPAの「５分でできるセキュリティ診断」を実施して、社内のセキュリティ意識の向上を図るように説明した。",,,,,,
2,9,1,01.個別サイバーセキュリティ事象の相談【Mission１】,02.迷惑メール・スパムメール,迷惑メールが来る,"迷惑メールが自分のメールアドレスで会社の使用ＰＣに来る。
会社ではＰＣ１５台使用しているが他のＰＣには来ていない。
セキュリティソフトはソースネクスト社製を使用している。迷惑メールが来ると、そのセキュリティソフトから警告メッセージが画面に表示されるので、ＯutLookの迷惑メールフォルダを確認すると、件名不明英文、風俗関係の迷惑メールであった。
この迷惑メールは、一年前頃から発生している。
メールは開かず迷惑メールフォルダに保管された状態です。
セキュリティ上このＰＣは安全なのか教えてください。",業務兼個人用としてＰＣ（Ｗｉｎｄｏｗｓ７）使用している、Windows Updateは更新されているが、一部に業務上の計測機器専用ＰＣ９８が有る。,"現状はウィルス対策ソフト、Ｍｓ Ｕｐｄａｔ
ｅで保護されてると推定。
セキュリティ上安全確認の為に、ＰＣ全体のウィルススキャン等が必要と説明し、ＩＰＡ　「安心相談窓口」を紹介した。",,,,,,
3,13,1,01.個別サイバーセキュリティ事象の相談【Mission１】,02.迷惑メール・スパムメール,スパムメールが毎日５～１０通来て迷惑している、回避方法を教えてください。,"件名が不明なメール（外国語）がＰＣ迷惑メールフィルターに毎日数通くる。不明メールはクリックしないので、内容はわからない。
迷惑メール発生時期は、正確には不明。

【システム環境】
・ＰＣ一台でインターネットに接続。（ＤＳＵ）
・業務（ネットバンキング含む）、ＨＰ検索で使用
・導入セキュリティソフト、実施対策は、
　Ｗｉｎｄｏｕｗ１０　Ｕｐｄａｔｅ、ノートンセキュリティソフト、バックアップは不定期であるがＵＳＢへコピーしている。
・ネットバンキング先の要請で、ワンタイムパスワード、セキュリティ監視エージェント（ＩＢＭ社製）を導入している。",,"１．スパムメール対策として、
①契約しているプロバイダーへの対策相談を依頼
②ＩＰＡセキュリティ安心相談窓口を紹介",,,,,,
4,21,1,01.個別サイバーセキュリティ事象の相談【Mission１】,02.迷惑メール・スパムメール,"業務で使用しているＰＣと自分のスマホに大量の迷惑メール（約５００通）が送られてきた。送信元ドメイン（アドレス）は組合のドメインであった。
メールフィルターで削除しているが、ウイルス等の感染が心配です。","＜環境＞
・使用ＰＣは１台、レンタルサーバ業者にメール、ホームページ運用を委託。
・迷惑メールの件名は、組合ホームページからの問合せメール入力と同じケースが多い。
（一部英字名があった）
・ＰＣ　Windows7  MS/Update,セキュリティソフト（他社製品）を導入。
・ウイルス定義ファイルの更新はＰＣ使用時に行っている。（月１～２回程度）
・データバックアップは、外付ハードデスクを使用。",,"・迷惑メールへの調査と対応について、委託中のレンタルサーバ業者に問い合せを依頼。
・ウイルスチエック作業は毎週更新する必要性を説明。
・その他
「迷惑メール相談センター」、ＩＰＡを紹介。",,,,,,
5,25,4,01.個別サイバーセキュリティ事象の相談【Mission１】,02.迷惑メール・スパムメール,取引等関係のない会社からメールが送信されてきたが攻撃型ランサムウェアか心配、どうしたらよいか教えてもらいたい。,"１　昨日、大塚商会から「最近、池袋管内で攻撃型ランサムウェアの被害を受けた会社が５件あるので注意して下さい」との報告を受けた。
２　本日、当社宛てに、取引のない会社から不審なメールが送信されてきたが、攻撃型ランサムウェアかも分からないので心配、どうしたら良いか教えてもらいたい。",不審メール「ＫＪ－ＫＵＢＯ＠ＩＲＩＳ．ＥＯＮＥＴ．ＪＰ,"１　不審メールが、現時点ランサムウェアか否かの確認はできないが、不審なメールと判断した場合は、絶対開かず消去すること。
２　データは、ハードディスクにバックアップしておくこと。
３　従業員に対し、不審メールは絶対ひらかないよう指示教養を徹底すること。４　ウイルス対策ソフトの更新を徹底すること。",,,,,,
6,31,3,01.個別サイバーセキュリティ事象の相談【Mission１】,02.迷惑メール・スパムメール,迷惑ＦＡＸが多いので、回避方法を教えてください。,"夜間に迷惑メール（局番０６～）が配信される。
業務上局番０６～は不要であり、迷惑FAXZフイルターで削除している。
他に良い対策があれば、教えてください。",,・着信拒否方法を再確認し、NTTの電話回線の場合、受信側終端末（モデ、ルータ）での着信回避設定が可能な為、NTTサービス窓口への問合せを依頼。,,,,,,
7,36,1,01.個別サイバーセキュリティ事象の相談【Mission１】,02.迷惑メール・スパムメール,携帯に迷惑メールが来る,"携帯のショートメッセージで迷惑メールが３回（同一）来た。
今日中に、指定した電話番号【０３-６６３１-９１５５】に連絡して３万円振り込みなさい。振り込まない場合は法的手続行う等のメール文面。
運営会社DMM

まったく身に覚えがありません。
対応方法を教えてください。","（参考情報）
ネット検索でヒット

電話【０３－６６３１－９１５５】　運営会社DMM
迷惑メール架空請求詐欺","迷惑メールであることを説明。
電話でのコンタクト行わない事。
メールは無視すること。

携帯の迷惑メールフィルターに登録し
別の迷惑メールがさらに来るようであれば、携帯キャリア相談窓口へ携帯の持参を依頼した。",,,,,,
8,42,1,01.個別サイバーセキュリティ事象の相談【Mission１】,02.迷惑メール・スパムメール,不正メールが校内のPCに送付された。,"
・１１月１５日午前８時～１０時頃まで不正な送信元メール（多摩美術大学ネットワークセンター：存在せず）が７台のPCに送信されたのを確認。
・７台中２台のPCで開封クリックしPW、IDの入力が行われた。
・メールサーバのFWでログを確認し送信元URLをブロック、送信先の調査を暫定対応中。

当該PCのウイルス対策ソウフト（ウイルスバスター）は最新状態である。ウイルス検索調査では、ヒットせず。
メールサーバでの不正メールチェックでもヒットしなかった。
メール開封したPCについては、クリアインストールを指導中。

メール文面は、大学内情報を搾取し真正な文章構成になっている。

尚、警視庁サイバー犯罪対策課とIPAに届け済です。",,"今回の不正メールに関して、大学のセキュリティポリシーに基づき対応中との連絡である。
不正メール情報を外部への公開可否(不正メール抑止）については、大学のセキュリテイ員会での判断事項であると説明。
今回のメールインシデントを担保する為
所轄警察署へ届出（業務妨害）を依頼した。",,,,,,
9,100,1,01.個別サイバーセキュリティ事象の相談【Mission１】,02.迷惑メール・スパムメール,見知らぬ会社から、料金請求のメールが届いたが、どうすれば良いか教えてもらいたい。,"１　当社は、１台のパソコンを従業員数名と使い回している。
２　今日、パソコンを開き、メールを確認していたら、８月４日付で、株式会社ラクーンという取引等関係ない会社から「現金１０万円を５日以内にお支払下さい」等の書き込みがあった。
３　当社とは取引等関係ない会社からの料金請求でもあるし、また支払請求期限を過ぎているにもかかわらず、再請求もないので、支払う意思はない。
４　今後、再請求のメールが来た場合、どうすれば良いか対処方策等を教えてもらいたい。",送信元メール:http//www.raccoon.ne.jp,"１　従業員に対し、料金請求される事実確認をすること。
２　料金請求される事実がなければ、支払う義務もないので、今後、再請求のメールが届いても絶対支払わないこと。
３　不当な料金請求とみとめられた場合、消費者ホットラインに相談すること。
４　従業員に対し、不審メール等の対処策等について、指導しておくこと。",,,,,,
10,107,2,01.個別サイバーセキュリティ事象の相談【Mission１】,02.迷惑メール・スパムメール,スマホに添付ファイル付きの不審なメールが数多く届く。,"・同じ送信元から添付ファイル付きの不審メールが届くようになり、すべてゴミ箱に入れているが、どうしたらいいか？
・スマホは、「あんしんスキャン」の契約をしているが、なぜ送られてくるのか？",,"・メールを開くと怪しいサイトからウイルスがダウンロードされる可能性がある。また、メールに添付されたファイルはウイルスの可能性がある。メールを開かずにごみ箱に入れたまま、ごみ箱を空にすること
・迷惑メールとして通報する場合は、メーラに用意されている迷惑メール通報機能を使って、メールを開かずにキャリア、ワクチンベンダーにメールを転送する
・「あんしんスキャン」の設定内容を確認すると、利用を承諾する操作がされていなかったので、承諾を促した",,,,,,
